1	[CX4]	Alkyl Carbon
2	[$([CX2](=*)=*)]	Allenic Carbon
3	[$([CX3]=[CX3])]	Vinylic Carbon(Ethenyl carbon)
4	[$([CX2]#*)]	Acetylenic Carbon 
5	c	Arene
6	[CX3]=[OX1]	Carbonyl group
7	[$([CX3]=[OX1]),$([CX3+]-[OX1-])]	Carbonyl group
8	[CX3](=[OX1])C	Carbonyl with Carbon
9	[OX1]=CN	Carbonyl with Nitrogen
10	[CX3](=[OX1])O	Carbonyl with Oxygen
11	[CX3H1](=O)[#6]	Aldehyde 
12	[CX3](=[OX1])[OX2][CX3](=[OX1])	Anhydride 
13	[NX3][CX3](=[OX1])[#6]	Amide 
14	[NX3][CX3]=[NX3+]	Amidinium
15	[N&X3,N&X4&+][CX3](=[OX1])[O&X2,O&X1&-]	Carbamate
16	[N&X3][CX3](=[OX1])[OX2H0]	Carbamic ester
17	[N&X3,N&X4&+][CX3](=[OX1])[O&X2&H,O&X1&-]	Carbamic acid.  
18	[CX3](=O)[O-]	Carboxylate Ion 
19	[CX3](=[OX1])(O)O	Carbonic Acid and/or Carbonic Ester
20	[CX3](=[OX1])([OX2])[O&X2&H,O&X1&H0&-1]	Carbonic Acid or Carbonic Acid-Ester
21	C[OX2][CX3](=[OX1])[OX2]C	Carbonic Ester(carbonic acid diester) 
22	[CX3](=O)[OX2H1]	Carboxylic acid
23	[CX3](=O)[O&X1&H0&-,O&X2&H1]	Carboxylic acid or conjugate base.
24	[NX3][CX2]#[NX1]	Cyanamide 
25	[#6][C&X3](=O)[O&X2&H0][#6]	Ester  
26	[#6][C&X3](=O)[#6]	Ketone 
27	[O&D2]([#6])[#6]	Ether
28	[N&X3;H2,H1;!$(NC=O)]	Primary or secondary amine, not amide.
29	[NX3][CX3]=[CX3]	Enamine  
30	[NX3;H2;!$(NC=[!#6]);!$(NC#[!#6])][#6]	Primary amine, not amide.
