[CX4]	Alkyl Carbon
[$([CX2](=*)=*)]	Allenic Carbon
[$([CX3]=[CX3])]	Vinylic Carbon(Ethenyl carbon)
[$([CX2]#*)]	Acetylenic Carbon 
c	Arene
[CX3]=[OX1]	Carbonyl group
[$([CX3]=[OX1]),$([CX3+]-[OX1-])]	Carbonyl group
[CX3](=[OX1])C	Carbonyl with Carbon
[OX1]=CN	Carbonyl with Nitrogen
[CX3](=[OX1])O	Carbonyl with Oxygen
[CX3H1](=O)[#6]	Aldehyde 
[CX3](=[OX1])[OX2][CX3](=[OX1])	Anhydride 
[NX3][CX3](=[OX1])[#6]	Amide 
[NX3][CX3]=[NX3+]	Amidinium
[N&X3,N&X4&+][CX3](=[OX1])[O&X2,O&X1&-]	Carbamate
[N&X3][CX3](=[OX1])[OX2H0]	Carbamic ester
[N&X3,N&X4&+][CX3](=[OX1])[O&X2&H,O&X1&-]	Carbamic acid.  
[CX3](=O)[O-]	Carboxylate Ion 
[CX3](=[OX1])(O)O	Carbonic Acid and/or Carbonic Ester
[CX3](=[OX1])([OX2])[O&X2&H,O&X1&H0&-1]	Carbonic Acid or Carbonic Acid-Ester
C[OX2][CX3](=[OX1])[OX2]C	Carbonic Ester(carbonic acid diester) 
[CX3](=O)[OX2H1]	Carboxylic acid
[CX3](=O)[O&X1&H0&-,O&X2&H1]	Carboxylic acid or conjugate base.
[NX3][CX2]#[NX1]	Cyanamide 
[#6][C&X3](=O)[O&X2&H0][#6]	Ester  
[#6][C&X3](=O)[#6]	Ketone 
[O&D2]([#6])[#6]	Ether
[N&X3;H2,H1;!$(NC=O)]	Primary or secondary amine, not amide.
[NX3][CX3]=[CX3]	Enamine  
[NX3;H2;!$(NC=[!#6]);!$(NC#[!#6])][#6]	Primary amine, not amide.
[N&X3;H2,H1;!$(NC=O)].[N&X3;H2,H1;!$(NC=O)]	Two primary or secondary amines
[NX3][$(C=C),$(cc)]	Enamine or Aniline Nitrogen
[N&X3,N&X4&+][CX4H]([*])[CX3](=[OX1])[O,N]	generic amino acid
[N&X3&H2,N&H3&X4&+][CX4H]([*])[CX3](=[OX1])[N&X3,N&X4&+][CX4H]([*])[CX3](=[OX1])[O&X2&H,O&X1&-]	dipeptide group
[$([N&X3&H2,N&X4&H3&+]),$([NX3H](C)(C))][CX4H]([*])[CX3](=[OX1])[O&X2&H,O&X1&-,N]	amino acid
[CH3X4]	Alanine side chain
[CH2X4][CH2X4][CH2X4][NHX3][CH0X3](=[N&H2&X3&+,N&H&X2&+0])[NH2X3]	Arginine side chain  
[CH2X4][CX3](=[OX1])[NX3H2]	Aspargine side chain 
[CH2X4][CX3](=[OX1])[O&H0&-,O&H]	Aspartate (or Aspartic acid) side chain
[CH2X4][S&X2&H,S&X1&H0&-]	Cysteine side chain
[CH2X4][CH2X4][CX3](=[OX1])[O&H0&-,O&H]	Glutamate (or Glutemic acid) side chain 
[$([$([N&X3&H2,N&X4&H3&+]),$([NX3H](C)(C))][CX4H2][CX3](=[OX1])[O&X2&H,O&X1&-,N])]	Glycine
[CH2X4][#6X3]1:[$([#7&X3&H&+,#7&X2&H0&+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]:[$([#7&X3&H&+,#7&X2&H0&+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]1	Histidine side chain
[CHX4]([CH3X4])[CH2X4][CH3X4]	Isoleucine side chain
[CH2X4][CHX4]([CH3X4])[CH3X4]	Leucine side chain
[CH2X4][CH2X4][CH2X4][CH2X4][N&X4&+,N&X3&+0]	Lysine side chain
[CH2X4][CH2X4][SX2][CH3X4]	Methionine side chain
[CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1	Phenylalanine side chain
[$([N&X3&H,N&X4&H2&+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[O&X2&H,O&X1&-,N]	Proline
[CH2X4][OX2H]	Serine side chain
[NX3][CX3]=[SX1]	Thioamide 
[CHX4]([CH3X4])[OX2H]	Threonine side chain
[CH2X4][cX3]1[cX3H][nX3H][cX3]2[cX3H][cX3H][cX3H][cX3H][cX3]12	Tryptophan side chain
[CH2X4][cX3]1[cX3H][cX3H][cX3]([O&H&X2,O&H0&X1&-])[cX3H][cX3H]1	Tyrosine side chain  
[CHX4]([CH3X4])[CH3X4]	Valine side chain
[CH3X4]	Alanine side chain
[CH2X4][CH2X4][CH2X4][NHX3][CH0X3](=[N&H2&X3&+,N&H&X2&+0])[NH2X3]	Arginine side chain  
[CH2X4][CX3](=[OX1])[NX3H2]	Aspargine side chain 
[CH2X4][CX3](=[OX1])[O&H0&-,O&H]	Aspartate (or Aspartic acid) side chain  
[CH2X4][S&X2&H,S&X1&H0&-]	Cysteine side chain  
[CH2X4][CH2X4][CX3](=[OX1])[O&H0&-,O&H]	Glutamate (or Glutemic acid) side chain 
N[CX4H2][CX3](=[OX1])[O,N]	Glycine
[CH2X4][#6X3]1:[$([#7&X3&H&+,#7&X2&H0&+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]:[$([#7&X3&H&+,#7&X2&H0&+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]1	Histidine side chain
[CHX4]([CH3X4])[CH2X4][CH3X4]	Isoleucine side chain
[CH2X4][CHX4]([CH3X4])[CH3X4]	Leucine side chain
[CH2X4][CH2X4][CH2X4][CH2X4][N&X4&+,N&X3&+0]	Lysine side chain
[CH2X4][CH2X4][SX2][CH3X4]	Methionine side chain
[CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1	Phenylalanine side chain
N1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[O,N]	Proline
[CH2X4][OX2H]	Serine side chain
[CHX4]([CH3X4])[OX2H]	Threonine side chain
[CH2X4][cX3]1[cX3H][nX3H][cX3]2[cX3H][cX3H][cX3H][cX3H][cX3]12	Tryptophan side chain
[CH2X4][cX3]1[cX3H][cX3H][cX3]([O&H&X2,O&H0&X1&-])[cX3H][cX3H]1	Tyrosine side chain
[CHX4]([CH3X4])[CH3X4]	Valine side chain
